provid,permid,ssObjectId,orbit_class,population,sample,csv_file
2000 RE78,92996,21163607349213253,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/92996.csv
2000 RH89,138661,21163607349279048,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/138661.csv
2000 RO90,87656,21163607349342287,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/87656.csv
2000 RH112,680211,21163607349932616,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/680211.csv
2000 SS40,138684,21163607365791827,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/138684.csv
2000 SX44,257871,21163607365792856,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/257871.csv
2000 SC63,105695,21163607365923651,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/105695.csv
2000 SL106,160762,21163607366645324,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/160762.csv
2000 SR137,373473,21163607366842194,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/373473.csv
2000 SG143,62352,21163607366906695,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/62352.csv
2000 SH189,105899,21163607367170376,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/105899.csv
2000 SU205,105915,21163607367300437,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/105915.csv
2000 SG206,160773,21163607367300679,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/160773.csv
2000 SA213,122960,21163607367365441,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/122960.csv
2000 SP244,93341,21163607367562320,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/93341.csv
2000 SZ265,71801,21163607367693658,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/71801.csv
2000 ST303,62591,21163607367955284,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/62591.csv
2000 SA311,153159,21163607368020289,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/153159.csv
2000 SL314,247101,21163607368021068,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/247101.csv
2000 SN361,36992,21163607368741198,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/36992.csv
2000 TS16,205312,21163607382373971,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/205312.csv
2000 TL80,827214,21163607382831180,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/827214.csv
2000 UV7,41678,21163607399085910,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/41678.csv
2000 UE54,88009,21163607399412805,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/88009.csv
2000 UQ112,93671,21163607400264273,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/93671.csv
2000 VT47,123338,21163607416125268,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/123338.csv
2000 VV47,210752,21163607416125270,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/210752.csv
2000 WP6,98554,21163607432640080,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/98554.csv
